Year,Semester,Phase,Jobs
2021,S1,2,500
2021,S2,3,1500
2022,S1,3,3000
2022,S2,3,6000
2023,S1,4,9000
2023,S2,4,12000
2024,S1,4,15000
2024,S2,4,18000
2025,S1,4,21000
2025,S2,4,24000
